slug_lowercase  endodymn	exonym_en_001
ar-001	العربية Arabic
bn-001	বাংলা   Bengali
cy-001	Cymraeg	Cymraeg
en-001	English	English
en-gb	English - Great Britain	English - Great Britain
en-gb-oxendict	English - Great Britain - Oxford	English - Great Britain - Oxford
en-us	English - United States	English - United States
es-001	Español	Spanish
fr-001	Français	French
hi-001	हिन्दी	Hindi
id-001	Bahasa Indonesia	Indonesian
pt-001	Português	Portuguese
ru-001	Русский	Russian
ur-001	اردو	Urdu
zh-cn	?	Chinese - China
